,Idx,Open,High,Low,Close,Volume,Date
415,415,107.8,107.85,107.8,107.84,2455,2021-01-21 13:55:00-05:00
416,416,107.85,107.96,107.85,107.96,5575,2021-01-21 13:56:00-05:00
417,417,107.96,107.96,107.895,107.91,7748,2021-01-21 13:57:00-05:00
418,418,107.895,107.96,107.895,107.96,7558,2021-01-21 13:58:00-05:00
419,419,107.96,108.02,107.94,107.94,10893,2021-01-21 13:59:00-05:00
420,420,107.95,107.95,107.9,107.915,1188,2021-01-21 14:00:00-05:00
421,421,107.915,107.925,107.81,107.925,5196,2021-01-21 14:01:00-05:00
422,422,107.92,108.02,107.904,108.02,3396,2021-01-21 14:02:00-05:00
423,423,108.025,108.125,108.025,108.09,4305,2021-01-21 14:03:00-05:00
424,424,108.085,108.12,108.0446,108.075,5348,2021-01-21 14:04:00-05:00
425,425,108.06,108.11,108.06,108.07,4050,2021-01-21 14:05:00-05:00
426,426,108.085,108.24,108.07,108.2,11906,2021-01-21 14:06:00-05:00
427,427,108.2,108.2394,108.19,108.23,2968,2021-01-21 14:07:00-05:00
428,428,108.18,108.23,108.18,108.22,3300,2021-01-21 14:08:00-05:00
429,429,108.21,108.22,108.1798,108.19,1981,2021-01-21 14:09:00-05:00
430,430,108.1812,108.23,108.14,108.15,4095,2021-01-21 14:10:00-05:00
431,431,108.156,108.295,108.15,108.29,3227,2021-01-21 14:11:00-05:00
432,432,108.29,108.43,108.29,108.3101,5595,2021-01-21 14:12:00-05:00
433,433,108.345,108.36,108.34,108.35,730,2021-01-21 14:13:00-05:00
434,434,108.33,108.39,108.325,108.37,2200,2021-01-21 14:14:00-05:00
435,435,108.38,108.44,108.37,108.37,3331,2021-01-21 14:15:00-05:00
436,436,108.38,108.39,108.31,108.34,4791,2021-01-21 14:16:00-05:00
437,437,108.33,108.45,108.3091,108.44,8257,2021-01-21 14:17:00-05:00
438,438,108.44,108.49,108.41,108.41,33198,2021-01-21 14:18:00-05:00
439,439,108.37,108.5,108.37,108.49,47135,2021-01-21 14:19:00-05:00
440,440,108.47,108.47,108.3,108.3,4201,2021-01-21 14:20:00-05:00
441,441,108.3,108.3099,108.2,108.28,2400,2021-01-21 14:21:00-05:00
442,442,108.26,108.29,108.24,108.24,1800,2021-01-21 14:22:00-05:00
443,443,108.25,108.25,108.12,108.195,4505,2021-01-21 14:23:00-05:00
444,444,108.19,108.19,108.14,108.15,2600,2021-01-21 14:24:00-05:00
445,445,108.14,108.17,108.12,108.12,1968,2021-01-21 14:25:00-05:00
446,446,108.11,108.12,108.07,108.1199,2369,2021-01-21 14:26:00-05:00
447,447,108.07,108.11,108.07,108.0744,2430,2021-01-21 14:27:00-05:00
448,448,108.05,108.1338,108.05,108.085,4466,2021-01-21 14:28:00-05:00
449,449,108.1,108.105,108.06,108.105,1281,2021-01-21 14:29:00-05:00
450,450,108.13,108.27,108.13,108.27,16686,2021-01-21 14:30:00-05:00
451,451,108.25,108.363,108.225,108.3,4200,2021-01-21 14:31:00-05:00
452,452,108.26,108.37,108.26,108.37,2480,2021-01-21 14:32:00-05:00
453,453,108.39,108.425,108.39,108.415,1995,2021-01-21 14:33:00-05:00
454,454,108.39,108.4,108.34,108.39,5672,2021-01-21 14:34:00-05:00
455,455,108.41,108.4999,108.41,108.475,1476,2021-01-21 14:35:00-05:00
456,456,108.45,108.56,108.42,108.45,12344,2021-01-21 14:36:00-05:00
457,457,108.44,108.58,108.43,108.57,12692,2021-01-21 14:37:00-05:00
458,458,108.57,108.5828,108.48,108.485,7426,2021-01-21 14:38:00-05:00
459,459,108.48,108.58,108.48,108.57,16866,2021-01-21 14:39:00-05:00
460,460,108.555,108.65,108.53,108.61,23496,2021-01-21 14:40:00-05:00
461,461,108.58,108.59,108.5,108.5,66875,2021-01-21 14:41:00-05:00
462,462,108.5,108.525,108.27,108.41,338072,2021-01-21 14:42:00-05:00
463,463,108.37,108.45,108.37,108.43,5785,2021-01-21 14:43:00-05:00
464,464,108.4,108.43,108.3856,108.41,6850,2021-01-21 14:44:00-05:00
465,465,108.39,108.4,108.38,108.4,1043,2021-01-21 14:45:00-05:00
466,466,108.38,108.65,108.38,108.45,49987,2021-01-21 14:46:00-05:00
467,467,108.435,108.505,108.42,108.435,36927,2021-01-21 14:47:00-05:00
468,468,108.46,108.51,108.3601,108.465,48833,2021-01-21 14:48:00-05:00
469,469,108.47,108.51,108.45,108.5,8035,2021-01-21 14:49:00-05:00
470,470,108.45,108.49,108.45,108.49,2701,2021-01-21 14:50:00-05:00
471,471,108.5,108.5,108.44,108.46,12884,2021-01-21 14:51:00-05:00
472,472,108.48,108.51,108.465,108.495,2603,2021-01-21 14:52:00-05:00
473,473,108.48,108.51,108.36,108.505,11057,2021-01-21 14:53:00-05:00
474,474,108.51,108.51,108.47,108.49,4207,2021-01-21 14:54:00-05:00
475,475,108.49,108.51,108.46,108.48,14764,2021-01-21 14:55:00-05:00
476,476,108.488,108.5,108.45,108.47,4367,2021-01-21 14:56:00-05:00
477,477,108.47,108.5,108.425,108.475,6884,2021-01-21 14:57:00-05:00
478,478,108.47,108.49,108.455,108.455,3908,2021-01-21 14:58:00-05:00
479,479,108.455,108.49,108.45,108.49,4414,2021-01-21 14:59:00-05:00
480,480,108.485,108.605,108.47,108.57,26380,2021-01-21 15:00:00-05:00
481,481,108.57,108.65,108.56,108.61,30856,2021-01-21 15:01:00-05:00
482,482,108.61,108.64,108.53,108.61,55952,2021-01-21 15:02:00-05:00
483,483,108.61,108.62,108.52,108.6,12862,2021-01-21 15:03:00-05:00
484,484,108.6,108.7,108.6,108.695,8668,2021-01-21 15:04:00-05:00
485,485,108.71,108.73,108.64,108.715,21058,2021-01-21 15:05:00-05:00
486,486,108.72,108.79,108.71,108.77,23895,2021-01-21 15:06:00-05:00
487,487,108.76,108.82,108.54,108.54,15746,2021-01-21 15:07:00-05:00
488,488,108.51,108.7,108.34,108.48,14133,2021-01-21 15:08:00-05:00
489,489,108.445,108.58,108.445,108.5,3216,2021-01-21 15:09:00-05:00
490,490,108.55,108.57,108.44,108.44,2988,2021-01-21 15:10:00-05:00
491,491,108.435,108.47,108.38,108.4,4082,2021-01-21 15:11:00-05:00
492,492,108.41,108.425,108.39,108.39,846,2021-01-21 15:12:00-05:00
